,facts,success
0,"The term ""dog days of summer"" was coined by the ancient Greeks and Romans to describe the hottest days of summer that coincided with the rising of the Dog Star, Sirius.",True
1,"Some studies believe that dogs started to be domesticated 33,000 years ago.",True
2,Dogs have been used since the 1700’s for therapy.,True
3,"Dogs judge objects first by their movement, then by their brightness, and lastly by their shape.",True
4,"The shape of a dog’s face suggests how long it will live. Dogs with sharp, pointed faces that look more like wolves typically live longer. Dogs with very flat faces, such as bulldogs, often have shorter lives.",True
5,"During the Middle Ages, Great Danes and Mastiffs were sometimes suited with armor and spiked collars to enter a battle or to defend supply caravans.",True
6,Puppies grow to half their body weight in the first four to five months!,True
7,Dogs’ only sweat glands are between their paw pads.,True
8,Dogs can count up to five and can perform simple mathematical calculations.,True
9,"Weird dog laws include allowing police offers in Palding, Ohio, to bite a dog to quiet it. In Ventura County, California, cats and dogs are not allowed to have sex without a permit.",True
10,Dogs are all direct descendants of wolves.,True
11,Dogs have no sense of time.,True
12,"The Golden Retriever, one of the most popular dog breeds, was first bred in Scotland in the mid 1800s.",True
13,"The Labrador Retriever is the #1 favorite breed in the U.S., Canada, and the U.K.",True
14,The breed Lundehune has 6 toes and can close its ears.,True
15,Dogs are all direct descendants of wolves.,True
16,President Calvin Coolidge owned at least a dozen dogs.,True
17,"Irish Wolfhounds, the tallest breed, are 30 to 35 inches tall.",True
18,Female dogs carry puppies for about nine weeks before birth.,True
19,"The American Kennel Club, the most influential dog club in the United States, was founded in 1884.",True
20,"It is a myth that dogs are color blind. They can actually see in color, just not as vividly as humans. It is akin to our vision at dusk.",True
21,The Russians trained dogs during WWII to run suicide missions with mines strapped to their backs.,True
22,"Chocolate contains a substance known as theobromine (similar to caffeine) which can kill dogs or, at the very least, make them violently ill.",True
23,If you want a dog to see things in a green background the best color is blue.,True
24,"Just like human fingerprints, no two dogs' nose prints are alike.",True
25,President Theodore Roosevelt's Bull Terrier Pete ripped the pants off French Ambassador Jules Jusserand.,True
26,Obesity is the top health problem among dogs.,True
